,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
194,SAN SEBASTIÁN DE BUENAVISTA,LA PAZ
195,PUEBLO BELLO,PUEBLO BELLO
196,VALLEDUPAR,
197,VALLEDUPAR,
198,SAN GIL,
199,LA PAZ,
200,CHIMICHAGUA,
201,VALLEDUPAR,VALLEDUPAR
202,VALLEDUPAR,VALLEDUPAR
203,BARRANQUILLA,LA PAZ
204,BECERRIL,
205,MANAURE BALCÓN DEL CESAR,
206,VALLEDUPAR,
207,VALLEDUPAR,
208,PAILITAS,
209,LA PAZ,
210,VALLEDUPAR,
211,VALLEDUPAR,VALLEDUPAR
212,VILLANUEVA,
213,LA PAZ,
214,"BOGOTÁ, D.C.",
215,SAN DIEGO,SAN DIEGO
216,SAN DIEGO,
217,PUEBLO BELLO,
218,BOSCONIA,
219,VALLEDUPAR,VALLEDUPAR
220,VALLEDUPAR,VALLEDUPAR
221,FUNDACIÓN,
222,LA PAZ,
223,EL MOLINO,
224,VALLEDUPAR,
225,FUNDACIÓN,
226,VALLEDUPAR,VALLEDUPAR
227,LA PAZ,
228,VALLEDUPAR,VALLEDUPAR
229,BUCARAMANGA,
230,BARRANCAS,
231,VALLEDUPAR,
232,VALLEDUPAR,
233,VALLEDUPAR,
234,"BOGOTÁ, D.C.",
235,FUNDACIÓN,VALLEDUPAR
236,PLATO,
237,PUEBLO BELLO,VALLEDUPAR
238,CIUDAD EXTRANJERO,BECERRIL
239,VALLEDUPAR,
240,AGUSTÍN CODAZZI,
241,VALLEDUPAR,VALLEDUPAR
242,VALLEDUPAR,VALLEDUPAR
243,VALLEDUPAR,
244,CARTAGENA DE INDIAS,VALLEDUPAR
245,VALLEDUPAR,
246,,
247,BARRANQUILLA,
248,CARTAGENA DE INDIAS,
249,CIUDAD EXTRANJERO,
250,VALLEDUPAR,
251,SAN DIEGO,
252,VALLEDUPAR,
253,LA PAZ,
254,CIUDAD EXTRANJERO,
255,VALLEDUPAR,VALLEDUPAR
256,RIOHACHA,
257,VALLEDUPAR,VALLEDUPAR
258,EL COPEY,
259,LA PAZ,
260,VALLEDUPAR,
261,SINCELEJO,
262,AGUSTÍN CODAZZI,
263,LA PAZ,LA PAZ
264,"BOGOTÁ, D.C.",
265,VALLEDUPAR,
266,VALLEDUPAR,
267,VALLEDUPAR,
268,BARRANQUILLA,
269,AGUSTÍN CODAZZI,
270,LA PAZ,
271,VALLEDUPAR,VALLEDUPAR
272,VALLEDUPAR,SAN DIEGO
273,CIUDAD EXTRANJERO,
274,VALLEDUPAR,
275,VALLEDUPAR,
276,LA PAZ,
277,AGUSTÍN CODAZZI,
278,LA PAZ,
279,LA PAZ,
280,"BOGOTÁ, D.C.",
281,VALLEDUPAR,BOSCONIA
282,"BOGOTÁ, D.C.",
283,VALLEDUPAR,
284,VALLEDUPAR,
285,BUCARAMANGA,
286,ASTREA,
287,,
288,"BOGOTÁ, D.C.",
289,VALLEDUPAR,
290,VALLEDUPAR,VALLEDUPAR
291,VALLEDUPAR,VALLEDUPAR
292,VALLEDUPAR,MANAURE BALCÓN DEL CESAR
293,VALLEDUPAR,
294,MONTERÍA,
295,LA PAZ,
296,SAN DIEGO,
297,VALLEDUPAR,LA PAZ
298,VALLEDUPAR,VALLEDUPAR
299,VALLEDUPAR,
300,VALLEDUPAR,
301,VALLEDUPAR,
302,LA PAZ,
303,VALLEDUPAR,
304,VALLEDUPAR,
305,BECERRIL,VALLEDUPAR
306,BECERRIL,AGUSTÍN CODAZZI
307,VALLEDUPAR,VALLEDUPAR
308,PLATO,AGUSTÍN CODAZZI
309,SANTA MARTA,VALLEDUPAR
310,LA PAZ,
311,LA PAZ,
312,AGUSTÍN CODAZZI,
313,VALLEDUPAR,VALLEDUPAR
314,VALLEDUPAR,VALLEDUPAR
315,LA PAZ,
316,LA PAZ,
317,SAN DIEGO,
318,AGUSTÍN CODAZZI,LA PAZ
319,LA JAGUA DE IBIRICO,LA PAZ
320,VALLEDUPAR,VALLEDUPAR
321,VALLEDUPAR,
322,SAN DIEGO,SAN DIEGO
323,PUEBLO BELLO,LA PAZ
